year;valgstedid;voters;votes;a;b;c;v;vsnavn;komnavn;kredsnavn;kontanthjaelp;arbejd;boligstoer_kvm;ejer;formue;indkomst;indkomst_80pct
2015;846014;875;740;.327027027027027;.0189189189189189;.0189189189189189;.1986486486486487;Veddum-Skelund;Mariagerfjord;6. Mariagerfjord;.0599095709621906;.5448379516601563;132.4732143;.736185383;762496.625;437439.09375;1259457
2005;846018;2012;1690;.336094674556213;.0526627218934911;.0946745562130177;.3355029585798817;Als;Mariagerfjord;6. Mariagerfjord;.0493994578719139;.5009686350822449;128.8113695;.75538329;854051.4375;454774.3125;1922941
2007;846018;2090;1833;.2798690671031097;.0250954719039825;.1309328968903437;.3022367703218767;Als;Mariagerfjord;6. Mariagerfjord;.0493994578719139;.5009686350822449;128.8113695;.75538329;854051.4375;454774.3125;1922941
2011;846018;2050;1749;.3299028016009148;.0548885077186964;.0485991995425958;.3018867924528302;Als;Mariagerfjord;6. Mariagerfjord;.0493994578719139;.5009686350822449;126.0214168;.734156379;854051.4375;454774.3125;1922941
2015;846018;1961;1646;.3049817739975699;.0127582017010936;.0164034021871203;.2636695018226002;Als;Mariagerfjord;6. Mariagerfjord;.0493994578719139;.5009686350822449;126.0214168;.734156379;854051.4375;454774.3125;1922941
2005;846020;2482;2215;.2528216704288939;.0753950338600451;.0848758465011287;.3846501128668172;Hørby;Mariagerfjord;6. Mariagerfjord;.0339481420814991;.6452820301055908;140.9396226;.846792453;1067710.375;553399.1875;9927794
2007;846020;2637;2358;.2366412213740458;.0385920271416455;.1170483460559797;.3469041560644614;Hørby;Mariagerfjord;6. Mariagerfjord;.0339481420814991;.6452820301055908;140.9396226;.846792453;1067710.375;553399.1875;9927794
2011;846020;2602;2328;.2628865979381443;.0605670103092784;.0468213058419244;.3341924398625429;Hørby;Mariagerfjord;6. Mariagerfjord;.0339481420814991;.6452820301055908;144.5733912;.854873646;1067710.375;553399.1875;9927794
2015;846020;2630;2312;.2530276816608997;.0307093425605536;.023356401384083;.2651384083044983;Hørby;Mariagerfjord;6. Mariagerfjord;.0339481420814991;.6452820301055908;144.5733912;.854873646;1067710.375;553399.1875;9927794
2005;846022;1597;1387;.243691420331651;.0634462869502523;.113914924297044;.3532804614275414;Onsild;Mariagerfjord;6. Mariagerfjord;.0417395085096359;.5944055914878845;135.2494331;.7823129250000001;759201.75;485957.96875;2115192
2007;846022;1603;1402;.2125534950071327;.0420827389443652;.1098430813124108;.3359486447931526;Onsild;Mariagerfjord;6. Mariagerfjord;.0417395085096359;.5944055914878845;135.2494331;.7823129250000001;759201.75;485957.96875;2115192
