year;valgstedId;voters;votes;a;b;c;v;inc_support
2001;376001;3615,39;2927,53;946,5;146,3;276,38;734,1;0,373283963
2001;376002;3151,75;2639,39;971,99;124,36;200,96;622,79;0,415380069
2001;376003;3346;2834;1088;84;278;691;0,413549753
2001;376004;3393,31;2924,11;1072,27;127,95;311,6;698,64;0,410456515
2001;376005;1897,23;1680,43;526,94;52,45;153,94;497,48;0,344786751
2001;376006;1584,46;1375,65;406,55;44,66;92,04;410,43;0,327997674
2001;376007;2715;2448;823;84;265;755;0,370506536
2001;376008;2644,66;2345,2;722,98;98,41;208,95;708,18;0,35024305
2001;376009;1603;1388;366;66;100;482;0,311239193
2001;376010;2882,87;2426,11;816,77;92,67;163,14;822,43;0,374855221
2001;376011;1895;1653,86;532,81;67,04;128,57;501,88;0,362696963
2001;376012;2336,22;2042,33;692,47;74,99;153,45;606,1;0,375776686
2001;376013;4950,25;4123,97;1561,44;144;345,27;1187,34;0,41354326
2001;376014;1261,12;1069,57;314,82;34,49;94,59;299,28;0,32658919
2001;376015;1000,5;873,62;295,2;25,43;61,16;291,78;0,367013118
