type;area;Q4_05;Q4_06;Q4_07;
Parcel-/rækkehus;6310 Broager;7076;..;8188;
Parcel-/rækkehus;6320 Egernsund;..;..;..;
Parcel-/rækkehus;6330 Padborg;6131;5787;7441;
Parcel-/rækkehus;6340 Kruså;4887;7015;7587;
Parcel-/rækkehus;6360 Tinglev;4550;5537;6296;
Parcel-/rækkehus;6372 Bylderup-Bov;..;..;5273;
Parcel-/rækkehus;6392 Bolderslev;..;..;5046;
Parcel-/rækkehus;6400 Sønderborg;8478;10884;11152;
Parcel-/rækkehus;6430 Nordborg;5263;6036;5754;
Parcel-/rækkehus;6440 Augustenborg;8042;6586;7114;
Parcel-/rækkehus;6470 Sydals;4530;6620;6109;
Parcel-/rækkehus;6500 Vojens;6686;6236;7554;
Parcel-/rækkehus;6510 Gram;4518;4865;4249;
Parcel-/rækkehus;6520 Toftlund;4774;5854;6850;
Parcel-/rækkehus;6534 Agerskov;4378;..;..;
Parcel-/rækkehus;6535 Branderup J;..;..;..;
Parcel-/rækkehus;6541 Bevtoft;..;..;..;
Parcel-/rækkehus;6560 Sommersted;..;..;5842;
Parcel-/rækkehus;6580 Vamdrup;7655;8343;9236;
Parcel-/rækkehus;6600 Vejen;7564;8238;9709;
Parcel-/rækkehus;6621 Gesten;5329;..;..;
Parcel-/rækkehus;6622 Bække;5479;..;..;
Parcel-/rækkehus;6623 Vorbasse;..;..;..;
Parcel-/rækkehus;6630 Rødding;4930;5892;4637;
Parcel-/rækkehus;6640 Lunderskov;5436;10687;9373;
Parcel-/rækkehus;6650 Brørup;6491;6424;7271;
Parcel-/rækkehus;6660 Lintrup;..;..;..;
Parcel-/rækkehus;6670 Holsted;5182;5471;6139;
Parcel-/rækkehus;6682 Hovborg;..;..;..;
Parcel-/rækkehus;6683 Føvling;..;..;..;
Parcel-/rækkehus;6690 Gørding;6291;..;..;
Parcel-/rækkehus;6700 Esbjerg;10489;12209;12250;
Parcel-/rækkehus;6705 Esbjerg Ø;9109;9206;10189;
Parcel-/rækkehus;6710 Esbjerg V;9783;13133;13142;
Parcel-/rækkehus;6715 Esbjerg N;9508;10691;12418;
Parcel-/rækkehus;6720 Fanø;10712;..;..;
Parcel-/rækkehus;6731 Tjæreborg;..;..;..;
Parcel-/rækkehus;6740 Bramming;7552;8546;9480;
Parcel-/rækkehus;6752 Glejbjerg;..;..;..;
Parcel-/rækkehus;6753 Agerbæk;..;4844;6411;
Parcel-/rækkehus;6760 Ribe;6732;7276;9408;
Parcel-/rækkehus;6771 Gredstedbro;6462;..;..;
Parcel-/rækkehus;6780 Skærbæk;..;3543;4831;
Parcel-/rækkehus;6792 Rømø;7302;..;..;
Parcel-/rækkehus;6800 Varde;7034;8586;8776;
Parcel-/rækkehus;6818 Årre;5061;4941;6169;
Parcel-/rækkehus;6823 Ansager;..;4488;5248;
Parcel-/rækkehus;6830 Nørre Nebel;5856;5821;6877;
Parcel-/rækkehus;6840 Oksbøl;6338;7444;8082;
Parcel-/rækkehus;6851 Janderup Vestj;..;..;..;
Parcel-/rækkehus;6852 Billum;..;..;..;
Parcel-/rækkehus;6853 Vejers Strand;..;..;..;
Parcel-/rækkehus;6854 Henne;..;..;..;
Parcel-/rækkehus;6855 Outrup;4259;4951;4769;
Parcel-/rækkehus;6857 Blåvand;..;..;..;
Parcel-/rækkehus;6862 Tistrup;5548;..;..;
Parcel-/rækkehus;6870 Ølgod;5160;6323;7340;
Parcel-/rækkehus;6880 Tarm;4427;5896;5683;
Parcel-/rækkehus;6893 Hemmet;4395;4141;4647;
Parcel-/rækkehus;6900 Skjern;6327;6860;7371;
Parcel-/rækkehus;6920 Videbæk;5541;5631;6264;
Parcel-/rækkehus;6933 Kibæk;5450;6032;6049;
Parcel-/rækkehus;6940 Lem St;..;6413;5572;
Parcel-/rækkehus;6950 Ringkøbing;7510;8272;8136;
Parcel-/rækkehus;6960 Hvide Sande;6368;6308;7472;
Parcel-/rækkehus;6971 Spjald;4060;..;5347;
Parcel-/rækkehus;6973 Ørnhøj;..;..;..;
Parcel-/rækkehus;6980 Tim;4374;..;4726;
Parcel-/rækkehus;6990 Ulfborg;4148;5509;5590;
Parcel-/rækkehus;7000 Fredericia;8913;11692;13101;
Parcel-/rækkehus;7080 Børkop;9342;11625;12984;
Parcel-/rækkehus;7100 Vejle;10496;12702;13950;
Parcel-/rækkehus;7120 Vejle Øst;11337;16324;17767;
Parcel-/rækkehus;7130 Juelsminde;7218;8038;10345;
Parcel-/rækkehus;7140 Stouby;5886;8215;8896;
Parcel-/rækkehus;7150 Barrit;..;..;..;
Parcel-/rækkehus;7160 Tørring;6735;9030;8056;
Parcel-/rækkehus;7171 Uldum;8834;6762;..;
Parcel-/rækkehus;7173 Vonge;..;..;8877;
Parcel-/rækkehus;7182 Bredsten;8492;7830;10257;
Parcel-/rækkehus;7183 Randbøl;..;..;..;
Parcel-/rækkehus;7184 Vandel;..;..;..;
Parcel-/rækkehus;7190 Billund;7728;8077;9216;
Parcel-/rækkehus;7200 Grindsted;6524;7227;7173;
Parcel-/rækkehus;7250 Hejnsvig;5041;..;5512;
Parcel-/rækkehus;7260 Sønder Omme;4465;..;6103;
Parcel-/rækkehus;7270 Stakroge;..;..;..;
Parcel-/rækkehus;7280 Sønder Felding;..;..;6449;
Parcel-/rækkehus;7300 Jelling;8590;10320;12122;
