type;area;Q4_05;Q4_06;Q4_07;;
Parcel-/rækkehus;7183 Randbøl;2;0;1;;
Parcel-/rækkehus;7184 Vandel;1;4;3;;
Parcel-/rækkehus;7190 Billund;13;13;12;;
Parcel-/rækkehus;7200 Grindsted;27;25;40;;
Parcel-/rækkehus;7250 Hejnsvig;5;2;7;;
Parcel-/rækkehus;7260 Sønder Omme;7;3;5;;
Parcel-/rækkehus;7270 Stakroge;0;0;1;;
Parcel-/rækkehus;7280 Sønder Felding;1;0;8;;
Parcel-/rækkehus;7300 Jelling;25;12;15;;
Parcel-/rækkehus;7321 Gadbjerg;3;2;5;;
Parcel-/rækkehus;7323 Give;26;25;21;;
Parcel-/rækkehus;7330 Brande;20;30;22;;
Parcel-/rækkehus;7361 Ejstrupholm;1;5;10;;
Parcel-/rækkehus;7362 Hampen;4;1;5;;
Parcel-/rækkehus;7400 Herning;95;80;115;;
Parcel-/rækkehus;7430 Ikast;28;11;22;;
Parcel-/rækkehus;7441 Bording;5;3;6;;
Parcel-/rækkehus;7442 Engesvang;5;8;6;;
Parcel-/rækkehus;7451 Sunds;12;7;13;;
Parcel-/rækkehus;7470 Karup J;14;19;17;;
Parcel-/rækkehus;7480 Vildbjerg;8;13;14;;
Parcel-/rækkehus;7490 Aulum;7;11;9;;
Parcel-/rækkehus;7500 Holstebro;93;76;106;;
Parcel-/rækkehus;7540 Haderup;5;7;3;;
Parcel-/rækkehus;7550 Sørvad;3;2;2;;
Parcel-/rækkehus;7560 Hjerm;4;11;2;;
Parcel-/rækkehus;7570 Vemb;2;10;9;;
Parcel-/rækkehus;7600 Struer;31;31;36;;
Parcel-/rækkehus;7620 Lemvig;40;24;27;;
Parcel-/rækkehus;7650 Bøvlingbjerg;3;3;4;;
Parcel-/rækkehus;7660 Bækmarksbro;2;6;4;;
Parcel-/rækkehus;7673 Harboøre;10;5;7;;
Parcel-/rækkehus;7680 Thyborøn;7;12;5;;
Parcel-/rækkehus;7700 Thisted;30;33;48;;
Parcel-/rækkehus;7730 Hanstholm;5;8;6;;
Parcel-/rækkehus;7741 Frøstrup;4;1;2;;
Parcel-/rækkehus;7742 Vesløs;1;5;6;;
Parcel-/rækkehus;7752 Snedsted;11;14;16;;
Parcel-/rækkehus;7755 Bedsted Thy;4;5;7;;
Parcel-/rækkehus;7760 Hurup Thy;16;10;15;;
Parcel-/rækkehus;7770 Vestervig;8;3;1;;
Parcel-/rækkehus;7790 Thyholm;7;2;3;;
Parcel-/rækkehus;7800 Skive;32;30;41;;
Parcel-/rækkehus;7830 Vinderup;15;19;18;;
Parcel-/rækkehus;7840 Højslev;11;8;3;;
Parcel-/rækkehus;7850 Stoholm Jyll;6;7;7;;
Parcel-/rækkehus;7860 Spøttrup;18;16;32;;
Parcel-/rækkehus;7870 Roslev;21;25;32;;
Parcel-/rækkehus;7884 Fur;4;0;2;;
Parcel-/rækkehus;7900 Nykøbing M;36;19;31;;
Parcel-/rækkehus;7950 Erslev;7;8;7;;
Parcel-/rækkehus;7960 Karby;4;4;7;;
Parcel-/rækkehus;7970 Redsted M;1;3;2;;
Parcel-/rækkehus;7980 Vils;1;0;5;;
Parcel-/rækkehus;7990 Øster Assels;5;1;5;;
Parcel-/rækkehus;8000 Århus C;5;2;3;;
Parcel-/rækkehus;8200 Århus N;8;3;24;;
Parcel-/rækkehus;8210 Århus V;18;15;19;;
Parcel-/rækkehus;8220 Brabrand;18;3;23;;
Parcel-/rækkehus;8230 Åbyhøj;14;8;11;;
Parcel-/rækkehus;8240 Risskov;37;22;24;;
Parcel-/rækkehus;8250 Egå;16;9;8;;
Parcel-/rækkehus;8260 Viby J;25;19;23;;
Parcel-/rækkehus;8270 Højbjerg;32;18;30;;
Parcel-/rækkehus;8300 Odder;40;23;41;;
Parcel-/rækkehus;8305 Samsø;12;8;7;;
Parcel-/rækkehus;8310 Tranbjerg J;12;7;26;;
Parcel-/rækkehus;8320 Mårslet;15;4;9;;
Parcel-/rækkehus;8330 Beder;8;4;6;;
Parcel-/rækkehus;8340 Malling;3;3;4;;
Parcel-/rækkehus;8350 Hundslund;2;3;3;;
Parcel-/rækkehus;8355 Solbjerg;9;6;11;;
Parcel-/rækkehus;8361 Hasselager;15;8;9;;
Parcel-/rækkehus;8362 Hørning;16;15;13;;
Parcel-/rækkehus;8370 Hadsten;38;13;25;;
Parcel-/rækkehus;8380 Trige;21;4;2;;
Parcel-/rækkehus;8381 Tilst;23;6;14;;
Parcel-/rækkehus;8382 Hinnerup;33;23;16;;
Parcel-/rækkehus;8400 Ebeltoft;35;26;21;;
Parcel-/rækkehus;8410 Rønde;20;14;17;;
Parcel-/rækkehus;8420 Knebel;5;6;2;;
Parcel-/rækkehus;8444 Balle;2;1;4;;
Parcel-/rækkehus;8450 Hammel;18;22;27;;
Parcel-/rækkehus;8462 Harlev J;5;4;11;;
Parcel-/rækkehus;8464 Galten;18;9;27;;
Parcel-/rækkehus;8471 Sabro;15;5;8;;
Parcel-/rækkehus;8472 Sporup;3;2;4;;
Parcel-/rækkehus;8500 Grenaa;30;23;41;;
Parcel-/rækkehus;8520 Lystrup;9;2;13;;
Parcel-/rækkehus;8530 Hjortshøj;9;5;8;;
